food_id,food_name,region,is_vegetarian,meal_type,food_group,calories_per_100g,protein_g,carbs_g,sugar_g,fiber_g,fat_g,saturated_fat_g,sodium_mg,potassium_mg,magnesium_mg,glycemic_index,omega3_g,is_millet,is_fried,is_probiotic,tryptophan_rich,diabetes_score,hypertension_score,cvd_score,mental_score
F065,Akhrot (Walnuts),pan-india,True,snack/breakfast,nuts,654,15.2,14.0,2.6,6.7,65.0,6.0,2,441,158,15,9.1,False,False,False,False,1.0,1.0,1.0,1.0
F066,Badam (Almonds),pan-india,True,snack/breakfast,nuts,579,21.2,22.0,4.4,12.5,49.9,3.8,1,733,270,15,0.0,False,False,False,False,1.0,1.0,1.0,1.0
F067,Flaxseed (Alsi),pan-india,True,breakfast/snack/lunch/dinner,nuts,534,18.3,29.0,1.6,27.3,42.2,3.6,30,813,392,35,22.8,False,False,False,False,1.0,1.0,1.0,1.0
F068,Chia Seeds,pan-india,True,breakfast/snack,nuts,486,16.5,42.0,0.0,34.4,30.7,3.3,16,407,335,1,17.8,False,False,False,False,1.0,1.0,1.0,1.0
F069,Pumpkin Seeds,pan-india,True,snack,nuts,559,30.2,11.0,1.4,6.0,49.1,8.7,7,919,592,25,0.1,False,False,False,True,1.0,1.0,0.9,1.0
F070,Til (Sesame Seeds),pan-india,True,snack/breakfast,nuts,573,17.7,23.0,0.3,11.8,50.0,7.0,11,468,351,35,0.4,False,False,False,False,1.0,1.0,0.9,1.0
F071,Makhana (Fox Nuts),pan-india,True,snack,nuts,347,9.7,74.7,0.0,0.5,0.1,0.0,1,500,67,55,0.0,False,False,False,False,1.0,1.0,1.0,1.0
F072,Coconut Chutney,south,True,breakfast/snack,fats,150,2.0,8.0,3.0,3.0,12.0,10.0,150,200,30,40,0.0,False,False,False,False,1.0,1.0,0.6,1.0
F073,Mustard Oil,pan-india,True,breakfast/lunch/dinner,fats,884,0.0,0.0,0.0,0.0,99.9,11.6,0,0,0,0,5.9,False,False,False,False,1.0,1.0,0.9,1.0
F074,Coconut Oil,south,True,breakfast/lunch/dinner,fats,862,0.0,0.0,0.0,0.0,100.0,82.0,0,0,0,0,0.0,False,False,False,False,1.0,1.0,0.6,1.0
F075,Ghee,pan-india,True,breakfast/lunch/dinner,fats,900,0.0,0.0,0.0,0.0,99.5,65.0,0,0,0,0,0.5,False,False,False,False,1.0,1.0,0.6,1.0
F076,Olive Oil,pan-india,True,breakfast/lunch/dinner,fats,884,0.0,0.0,0.0,0.0,100.0,14.0,2,1,0,0,0.8,False,False,False,False,1.0,1.0,0.9,1.0
F077,Jaggery (Gur),pan-india,True,snack,fats,383,0.4,98.0,70.0,0.0,0.1,0.0,19,1050,70,84,0.0,False,False,False,False,0.3,1.0,1.0,1.0
F078,"Ragi (Finger Millet, Raw)",south,True,breakfast/snack,cereals,336,7.3,72.0,1.5,3.6,1.5,0.3,11,408,137,68,0.1,True,False,False,False,0.95,1.0,1.0,1.0
F079,Cabbage (Stir-fried),pan-india,True,lunch/dinner,vegetables,30,1.5,6.5,2.5,2.5,0.5,0.1,18,170,12,10,0.0,False,False,False,False,1.0,1.0,1.0,1.0
F080,Kokum,west,True,lunch/dinner/snack,fruits,50,1.5,11.0,4.0,2.0,0.8,0.1,5,200,25,30,0.0,False,False,False,False,1.0,1.0,1.0,1.0
